pr_path,pr_number,created,total_comments,pr_lines_changed
/Josiah-Caldwell/step/pull/3,3,2020-06-09T16:49:22Z,6,182
/kaitlynchan/step/pull/1,1,2020-05-26T17:16:02Z,1,5
/kaitlynchan/step/pull/2,2,2020-05-27T00:03:38Z,0,673
/kaitlynchan/step/pull/3,3,2020-06-08T17:56:07Z,0,1058
/emmapaczkowski/step-portfolio/pull/1,1,2020-05-29T21:56:50Z,37,483
/denzilbilson-google/my-portfolio/pull/1,1,2020-05-27T20:29:01Z,10,128
/denzilbilson-google/my-portfolio/pull/2,2,2020-05-28T23:27:03Z,11,276
/denzilbilson-google/my-portfolio/pull/3,3,2020-06-04T16:00:48Z,15,584
/denzilbilson-google/my-portfolio/pull/4,4,2020-06-08T16:48:52Z,5,739
/jynCoder/my-step-portfolio/pull/1,1,2020-05-26T21:58:17Z,1,2
/jynCoder/my-step-portfolio/pull/2,2,2020-05-27T18:03:12Z,35,279
/jynCoder/my-step-portfolio/pull/3,3,2020-06-01T19:35:11Z,0,2
/jynCoder/my-step-portfolio/pull/4,4,2020-06-02T18:33:14Z,37,425
/derachimso/my-portfolio/pull/1,1,2020-06-02T02:06:37Z,0,2
/kirantumkur/steptest/pull/1,1,2020-06-02T02:52:45Z,0,2
/tsa87/step/pull/2,2,2020-05-26T22:48:13Z,21,1264
/tsa87/step/pull/3,3,2020-05-29T12:52:25Z,3,1457
/tsa87/step/pull/4,4,2020-06-01T16:27:20Z,2,150
/tsa87/step/pull/5,5,2020-06-02T04:00:23Z,23,1158
/tsa87/step/pull/9,9,2020-06-08T22:19:04Z,0,1653
/dangelyjeanelle/my-portfolio/pull/1,1,2020-06-01T14:54:53Z,0,4
/dangelyjeanelle/my-portfolio/pull/2,2,2020-06-01T21:49:23Z,6,35
/dangelyjeanelle/my-portfolio/pull/3,3,2020-06-03T15:37:02Z,2,64
/dangelyjeanelle/my-portfolio/pull/4,4,2020-06-03T16:48:38Z,2,66
/dangelyjeanelle/my-portfolio/pull/5,5,2020-06-04T16:49:54Z,2,18
/dangelyjeanelle/my-portfolio/pull/6,6,2020-06-08T19:45:54Z,6,42
/dangelyjeanelle/my-portfolio/pull/7,7,2020-06-09T16:23:57Z,0,41
/tonymai/step/pull/1,1,2020-06-02T17:19:52Z,0,1
/tonymai/step/pull/2,2,2020-06-02T17:20:19Z,0,3
/talvarez0507/my-portfolio/pull/1,1,2020-05-28T19:51:23Z,29,102
/talvarez0507/my-portfolio/pull/2,2,2020-06-03T21:22:00Z,26,134
/talvarez0507/my-portfolio/pull/3,3,2020-06-10T21:41:59Z,29,603
/kpatterson01/STEP-portfolio-1/pull/1,1,2020-05-19T23:01:37Z,1,2
/kpatterson01/STEP-portfolio-1/pull/2,2,2020-05-26T17:00:19Z,0,2
/kpatterson01/STEP-portfolio-1/pull/3,3,2020-05-27T11:28:46Z,1,43
/kpatterson01/STEP-portfolio-1/pull/4,4,2020-05-28T12:18:42Z,1,63
/kpatterson01/STEP-portfolio-1/pull/5,5,2020-05-28T16:20:34Z,1,54
/kpatterson01/STEP-portfolio-1/pull/6,6,2020-05-29T11:19:23Z,3,61
/kpatterson01/STEP-portfolio-1/pull/7,7,2020-05-29T12:04:51Z,2,31
/kpatterson01/STEP-portfolio-1/pull/8,8,2020-05-29T18:14:24Z,1,69
/kpatterson01/STEP-portfolio-1/pull/9,9,2020-05-29T20:56:27Z,1,50
/kpatterson01/STEP-portfolio-1/pull/10,10,2020-06-01T13:59:05Z,1,100
/kpatterson01/STEP-portfolio-1/pull/11,11,2020-06-01T18:50:46Z,1,41
/kpatterson01/STEP-portfolio-1/pull/12,12,2020-06-02T13:18:37Z,1,38
/kpatterson01/STEP-portfolio-1/pull/13,13,2020-06-02T15:42:13Z,1,70
/kpatterson01/STEP-portfolio-1/pull/14,14,2020-06-02T19:23:29Z,1,11
/swetha-gangu/STEP_Internship/pull/1,1,2020-05-27T17:17:21Z,12,343
/swetha-gangu/STEP_Internship/pull/2,2,2020-06-02T17:12:55Z,0,4
/swetha-gangu/STEP_Internship/pull/3,3,2020-06-04T20:32:48Z,11,187
/Jaxobc/google-portfolio/pull/1,1,2020-05-26T17:58:16Z,0,2
/Jaxobc/google-portfolio/pull/2,2,2020-05-27T05:04:25Z,0,16
/Jaxobc/google-portfolio/pull/3,3,2020-05-28T17:02:43Z,5,41
/Jaxobc/google-portfolio/pull/4,4,2020-05-29T02:22:04Z,0,70
/Jaxobc/google-portfolio/pull/5,5,2020-05-29T04:08:33Z,3,126
/Jaxobc/google-portfolio/pull/6,6,2020-06-02T01:43:11Z,6,188
/Jaxobc/google-portfolio/pull/7,7,2020-06-02T19:03:02Z,3,188
/Jaxobc/google-portfolio/pull/8,8,2020-06-02T19:28:35Z,0,3
/Jaxobc/google-portfolio/pull/9,9,2020-06-02T20:42:16Z,1,3
/Jaxobc/google-portfolio/pull/10,10,2020-06-04T17:05:48Z,0,65
/Jaxobc/google-portfolio/pull/11,11,2020-06-04T19:31:46Z,0,99
/Jaxobc/google-portfolio/pull/12,12,2020-06-04T19:40:18Z,9,99
/Jaxobc/google-portfolio/pull/13,13,2020-06-09T00:16:15Z,9,279
/Jaxobc/google-portfolio/pull/14,14,2020-06-09T19:15:17Z,9,280
/Jaxobc/google-portfolio/pull/15,15,2020-06-10T04:11:27Z,4,279
/Jaxobc/google-portfolio/pull/16,16,2020-06-10T16:47:08Z,6,307
/Jaxobc/google-portfolio/pull/17,17,2020-06-10T16:52:14Z,2,278
/Jaxobc/google-portfolio/pull/18,18,2020-06-10T18:16:15Z,1,116
/Jaxobc/google-portfolio/pull/19,19,2020-06-10T19:07:41Z,2,276
/Jaxobc/google-portfolio/pull/20,20,2020-06-10T21:13:50Z,0,75
/ade-ademiluyi/my-portfolio/pull/1,1,2020-05-26T20:03:31Z,13,512
/ade-ademiluyi/my-portfolio/pull/2,2,2020-06-01T21:19:10Z,3,809
/lailagamaleldin/step/pull/1,1,2020-05-28T15:27:50Z,1,556
/lailagamaleldin/step/pull/2,2,2020-06-01T14:39:04Z,0,439
/lailagamaleldin/step/pull/3,3,2020-06-02T21:04:14Z,0,548
/lailagamaleldin/step/pull/4,4,2020-06-04T18:40:17Z,0,230
/lailagamaleldin/step/pull/5,5,2020-06-08T16:42:44Z,2,216
/lailagamaleldin/step/pull/6,6,2020-06-11T15:19:10Z,0,298
/KushalD1999/step/pull/1,1,2020-05-25T14:05:26Z,1,2
/KushalD1999/step/pull/2,2,2020-05-26T15:10:11Z,1,105
/KushalD1999/step/pull/3,3,2020-05-26T17:36:47Z,27,328
/KushalD1999/step/pull/4,4,2020-05-27T21:54:11Z,6,196
/KushalD1999/step/pull/5,5,2020-05-28T16:36:30Z,2,88
/KushalD1999/step/pull/6,6,2020-06-01T00:19:38Z,1,88
/KushalD1999/step/pull/7,7,2020-06-01T13:01:19Z,4,26
/KushalD1999/step/pull/8,8,2020-06-01T20:46:55Z,21,199
/KushalD1999/step/pull/9,9,2020-06-03T20:53:41Z,35,274
/KushalD1999/step/pull/10,10,2020-06-06T06:05:05Z,0,306
/KushalD1999/step/pull/11,11,2020-06-06T06:15:16Z,15,193
/KushalD1999/step/pull/12,12,2020-06-08T19:35:22Z,3,58
/aliciasimon/my-portfolio/pull/1,1,2020-05-26T19:58:37Z,4,407
/aliciasimon/my-portfolio/pull/2,2,2020-06-04T21:52:25Z,1,4
/TheGuyWhoCodes/step-portfolio/pull/1,1,2020-05-26T21:08:29Z,0,103
/TheGuyWhoCodes/step-portfolio/pull/2,2,2020-05-27T15:12:12Z,0,278
/TheGuyWhoCodes/step-portfolio/pull/3,3,2020-05-27T21:35:40Z,0,118
/TheGuyWhoCodes/step-portfolio/pull/4,4,2020-05-28T17:08:37Z,2,314
/TheGuyWhoCodes/step-portfolio/pull/5,5,2020-05-29T14:50:02Z,0,1197
/TheGuyWhoCodes/step-portfolio/pull/6,6,2020-05-29T15:34:25Z,0,1208
/TheGuyWhoCodes/step-portfolio/pull/7,7,2020-05-29T17:44:49Z,4,331
/TheGuyWhoCodes/step-portfolio/pull/8,8,2020-06-02T20:02:58Z,2,155
/TheGuyWhoCodes/step-portfolio/pull/9,9,2020-06-03T18:24:05Z,0,57
/TheGuyWhoCodes/step-portfolio/pull/10,10,2020-06-08T20:56:32Z,1,499
/TheGuyWhoCodes/step-portfolio/pull/11,11,2020-06-11T17:35:03Z,0,429
/charlottehank/portfolio-STEP-project/pull/1,1,2020-06-02T18:48:47Z,2,16734
/charlottehank/portfolio-STEP-project/pull/2,2,2020-06-02T20:35:29Z,8,117
/charlottehank/portfolio-STEP-project/pull/3,3,2020-06-03T22:38:18Z,21,390
/charlottehank/portfolio-STEP-project/pull/4,4,2020-06-11T16:15:08Z,0,389
/gagomez/step-portfolio/pull/1,1,2020-05-31T20:29:27Z,0,88
/RossJ24/STEP-starter/pull/1,1,2020-05-28T16:45:34Z,18,215
/RossJ24/STEP-starter/pull/2,2,2020-06-01T18:56:33Z,0,2
/RossJ24/STEP-starter/pull/3,3,2020-06-03T18:39:25Z,34,57
/RossJ24/STEP-starter/pull/4,4,2020-06-03T19:24:53Z,53,218
/RossJ24/STEP-starter/pull/5,5,2020-06-10T20:04:27Z,0,238
/ducre11/step/pull/1,1,2020-06-03T17:55:59Z,4,43
/ducre11/step/pull/2,2,2020-06-08T18:49:36Z,5,7
/ducre11/step/pull/3,3,2020-06-08T21:06:15Z,7,74
/ajw029/step-intern-project/pull/1,1,2020-06-03T22:33:55Z,0,1
/ajw029/step-intern-project/pull/2,2,2020-06-03T22:34:58Z,1,1
/ajw029/step-intern-project/pull/3,3,2020-06-04T17:09:13Z,1,5
/ajw029/step-intern-project/pull/4,4,2020-06-04T17:10:26Z,1,1
/bosticc/step/pull/2,2,2020-05-27T19:00:19Z,42,420
/bosticc/step/pull/3,3,2020-06-09T14:44:54Z,10,496
/bosticc/step/pull/4,4,2020-06-09T16:48:33Z,0,201
/bosticc/step/pull/5,5,2020-06-11T18:12:58Z,0,640
/menynexi/STEPint/pull/1,1,2020-05-20T17:57:35Z,0,2
/menynexi/STEPint/pull/2,2,2020-05-25T14:14:34Z,0,29
/menynexi/STEPint/pull/3,3,2020-05-27T20:49:36Z,4,107
/menynexi/STEPint/pull/4,4,2020-05-28T20:36:03Z,3,79
/menynexi/STEPint/pull/5,5,2020-05-28T22:42:35Z,3,202
/menynexi/STEPint/pull/6,6,2020-06-01T16:54:06Z,0,18
/menynexi/STEPint/pull/7,7,2020-06-01T16:59:29Z,0,22
/menynexi/STEPint/pull/8,8,2020-06-01T17:47:21Z,2,12
/menynexi/STEPint/pull/9,9,2020-06-01T19:43:36Z,2,6
/menynexi/STEPint/pull/10,10,2020-06-01T23:20:54Z,3,4
/menynexi/STEPint/pull/11,11,2020-06-01T23:56:25Z,0,12
/menynexi/STEPint/pull/12,12,2020-06-03T18:52:24Z,6,45
